"ShoeSize","Gender","Grade","Height"
"9","Girl",NA,"56"
"7.8","Girl","Kindergarten","45"
"9.4","Boy","1st","54"
"8.7","Boy","1st","45"
"8.7","Girl",NA,"51.5"
"9","Boy",NA,"50.5"
"9","Girl","1st","50"
"9.1","Boy",NA,"51.5"
"9.3","Girl",NA,"51"
"9","Boy","Kindergarten","46.5"
"9.7","Boy",NA,"52.5"
"7","Girl","Kindergarten","40"
"8.3","Girl","1st","48"
"8.8","Girl",NA,"51.5"
"6.8","Girl","Kindergarten","40.5"
"9.2","Boy",NA,"50"
"8.1","Girl","Kindergarten","47"
"8.5","Girl","Kindergarten","46"
"9.2","Girl",NA,"53"
"9.2","Girl",NA,"55"
"11.1","Boy",NA,"64.5"
"7.2","Girl","Kindergarten","40"
"10","Girl",NA,"57"
"9","Boy",NA,"52.5"
"9","Boy",NA,"51"
"9.3","Girl",NA,"56.5"
"9.1","Girl",NA,"54"
"8.7","Girl","1st","49.5"
"9.7","Girl",NA,"56.5"
"9.75","Girl",NA,"57.5"
"7.75","Girl","Kindergarten","45"
"6.8","Girl","Kindergarten","39.5"
"8.3","Boy","1st","46"
"8.3","Girl","1st","46"
"9.5","Girl",NA,"56"
"9","Girl",NA,"50"
"9","Girl",NA,"54"
"10.5","Girl",NA,"59"
"8","Girl",NA,"48.5"
"7","Girl","Kindergarten","36"
"8.5","Girl",NA,"52"
"8.5","Boy","Kindergarten","48"
"9.4","Girl",NA,"56.5"
"8.75","Girl",NA,"52.5"
"9.5","Girl",NA,"54.5"
"9.25","Boy",NA,"52"
"9","Boy",NA,"53"
"8","Girl","1st","47"
"8","Girl","1st","47"
"10","Girl",NA,"50"
"10","Girl",NA,"60"
"10","Girl",NA,"60"
"10","Boy",NA,"58"
"10","Boy",NA,"58"
"7.75","Girl","1st","46.5"
"7.75","Girl","1st","46.5"
"8.5","Girl",NA,"56"
"8.5","Girl",NA,"56"
"10.5","Girl",NA,"61.5"
"10.5","Girl",NA,"61.5"
"9.25","Girl",NA,"61.75"
"9.25","Girl",NA,"61.75"
"8","Girl","1st","46.5"
"8","Girl","1st","46.5"
"10.5","Boy",NA,"51.5"
"10.5","Boy",NA,"51.5"
"8","Boy","Kindergarten","47.5"
"8","Boy","Kindergarten","47.5"
"10.75","Boy",NA,"53"
"10.75","Boy",NA,"53"
"8.5","Girl",NA,"50.5"
"8.5","Girl",NA,"50.5"
"10.5","Girl",NA,"54.5"
"10.5","Girl",NA,"54.5"
"9.25","Girl",NA,"53.5"
"9.25","Girl",NA,"53.5"
"10.25","Boy",NA,"55"
"10.25","Boy",NA,"55"
"9","Girl","1st","48"
"9","Girl","1st","48"
"9.75","Girl",NA,"54.5"
"9.75","Girl",NA,"54.5"
"8.5","Girl","Kindergarten","46.5"
"8.5","Girl","Kindergarten","46.5"
"8.5","Boy","1st","50.5"
"8.5","Boy","1st","50.5"
"10.5","Girl",NA,"60"
"10.5","Girl",NA,"60"
"5.5","Girl","1st","48.5"
"5.5","Girl","1st","48.5"
"10.5","Girl",NA,"66.5"
"10.5","Girl",NA,"66.5"
"10.25","Girl",NA,"58.75"
"10.25","Girl",NA,"58.75"
"9.5","Girl",NA,"59"
"9.5","Girl",NA,"59"
"8.5","Boy",NA,"52"
"8.5","Boy",NA,"52"
"8","Boy","Kindergarten","44"
"8","Boy","Kindergarten","44"
"10.5","Boy",NA,"57"
"10.5","Boy",NA,"57"
"10","Boy",NA,"53.5"
"10","Boy",NA,"53.5"
"9.25","Girl",NA,"54"
"9.25","Girl",NA,"54"
"8.5","Girl","1st","46.5"
"8.5","Girl","1st","46.5"
"9","Girl",NA,"52"
"9","Girl",NA,"52"
"10","Boy",NA,"58"
"10","Boy",NA,"58"
"9","Girl",NA,"56"
"9","Girl",NA,"56"
"9","Girl","1st","54"
"9","Girl","1st","54"
"9","Girl","1st","54"
"8.75","Girl",NA,"55"
"8.75","Girl",NA,"55"
"9.75","Girl",NA,"64"
"9.75","Girl",NA,"64"
"7.75","Girl","1st","50"
"7.75","Girl","1st","50"
"12","Boy",NA,"71"
"12","Boy",NA,"71"
"9.75","Boy",NA,"61"
"9.75","Boy",NA,"61"
"8.75","Boy","1st","49.5"
"8.75","Boy","1st","49.5"
"9","Boy","Kindergarten","50"
"9","Boy","Kindergarten","50"
"7.25","Boy","Kindergarten","45"
"7.25","Boy","Kindergarten","45"
"7.25","Boy","Kindergarten","45"
"10","Boy",NA,"59"
"10","Boy",NA,"59"
"9","Girl","Kindergarten","49"
"9","Girl","Kindergarten","49"
"7","Boy","Kindergarten","42"
"7","Boy","Kindergarten","42"
"8.75","Girl","1st","49"
"8.75","Girl","1st","49"
"8.75","Boy",NA,"54"
"7.5","Girl","Kindergarten","46"
"7.25","Girl","Kindergarten","47"
"8","Boy","1st","42"
"8","Boy","1st","45"
"6","Girl","Kindergarten","40"
"7","Boy","Kindergarten","40"
