"ShoeSize","Gender","Grade","Height"
"41","F",NA,"53.5"
"41","F",NA,"53.5"
"38","M",NA,"50"
"28","F",NA,"47"
"38","F","K","52"
"33","F","K","43"
"38","F",NA,"48"
"38","F",NA,"48"
"38","F",NA,"51"
"31","F","K","49"
"38","F",NA,"51"
"40","F","4","59"
"36","F",NA,"52"
"33","F",NA,"47"
"29","M","K","37"
"29","M","K","46.5"
"32.5","F","K","47.75"
"31","M","K","48.5"
"35.5","M","K","53"
"32","F","K","46"
"30","M","K","44.25"
"35","M","K","51.75"
"32","F","K","46.5"
"31","F","K","45.25"
"36","F","K","52.5"
"32","F","K","47"
"28","F","K","44"
"32","M","K","50.75"
"30.5","F","K","45.5"
"30","M","K","45.125"
"32","M","K","48.5"
"31","F","K","47.75"
"31","F","K","47.5"
"32","M","K","47.75"
"28","F","K","44.25"
"28","M","K","43.5"
"33","M","K","46"
"28","F","K","44"
"33","F","K","47.25"
"36","F","K","50"
"32","F","K","49.25"
"29","F","K","44.75"
"29.5","M","K","46"
"30","M","K","47.75"
"37","F","4","57"
"34.5","M","4","53.25"
"35","M","4","53.75"
"37","M","4","57.5"
"39","M","4","59.25"
"36","F","4","53"
"40","M","4","58.5"
"40","M","4","60"
"38","M","4","56.25"
"34.5","F","4","56.75"
"38","F","4","56"
"38","F","4","56"
"36","F","4","56"
"36.5","M","4","55.75"
"39","M","4","59"
"37","M","4","57.25"
"40","F","4","59.25"
"37","F","4","57"
